Notebook gr6_FL,Product setup for Notebook,/nsmedia/images/bc/notebook.png,"""9780544094765""",myNotebook,/content/hmof/language_arts/hmhcollections/resources/common/mnb_9780544094574_/index.html ,myNotebook,/content/hmof/language_arts/hmhcollections/resources/common/mnb_9780544094574_/index.html ,2,Notebook,9,Reading,6
Notebook gr7_FL,Product setup for Notebook,/nsmedia/images/bc/notebook.png,"""9780544094581""",myNotebook,/content/hmof/language_arts/hmhcollections/resources/common/mnb_9780544094574_/index.html ,myNotebook,/content/hmof/language_arts/hmhcollections/resources/common/mnb_9780544094574_/index.html ,2,Notebook,9,Reading,7
Notebook gr8_FL,Product setup for Notebook,/nsmedia/images/bc/notebook.png,"""9780544094598""",myNotebook,/content/hmof/language_arts/hmhcollections/resources/common/mnb_9780544094574_/index.html ,myNotebook,/content/hmof/language_arts/hmhcollections/resources/common/mnb_9780544094574_/index.html ,2,Notebook,9,Reading,8
FL Resources - Grade 8,Product setup for FL Resources - Grade 8,/nsmedia/images/bc/student_resources.png,"""9780544253063""",Teacher Resources,/content/hmof/language_arts/hmhcollections/resources/gr8/teacher_resources_9780544253063_,Student Resources,/content/hmof/language_arts/hmhcollections/resources/gr8/student_resources_9780544253063_,2,Resources,3,Reading,8
NA Resources - Grade 7,"Product setup for NA Resources - Grade 7
",/nsmedia/images/bc/student_resources.png,"""9780544094314""",Teacher Resources,/content/hmof/language_arts/hmhcollections/resources/gr7/teacher_resources_9780544094314_,Student Resources,/content/hmof/language_arts/hmhcollections/resources/gr7/student_resources_9780544094314_,2,Resources,3,Reading,7
NA Resources - Grade 8,"Product setup for NA Resources - Grade 8
",/nsmedia/images/bc/student_resources.png,"""9780544094321""",Teacher Resources,/content/hmof/language_arts/hmhcollections/resources/gr8/teacher_resources_9780544094321_,Student Resources,/content/hmof/language_arts/hmhcollections/resources/gr8/student_resources_9780544094321_,2,Resources,3,Reading,8
FL Resources - Grade 11,Product setup for FL Resources - Grade 11,/nsmedia/images/bc/student_resources.png,"""9780544253094""",Teacher Resources,/content/hmof/language_arts/hmhcollections/resources/gr11/teacher_resources_9780544253094_,Student Resources,/content/hmof/language_arts/hmhcollections/resources/gr11/student_resources_9780544253094_,2,Resources,3,Reading,11
GA Resources - Grade 12,Product setup for GA Resources - Grade 12,/nsmedia/images/bc/student_resources.png,"""9780544094451""",Teacher Resources,/content/hmof/language_arts/hmhcollections/resources/gr12/teacher_resources_9780544094451_,Student Resources,/content/hmof/language_arts/hmhcollections/resources/gr12/student_resources_9780544094451_,2,Resources,3,Reading,12
MyWriteSmart - Grade 12,Product setup for MyWriteSmart - Grade 12,/nsmedia/images/bc/mywritesmart.png,"""9780544258266""",myWriteSmart,/HRWHoap/MWSTeacherDashboardLoader?isbn=9780544158122&grade=12,,,2,myWriteSmart Activities,10,Reading,12
NA Resources - Grade 10,"Product setup for NA Resources - Grade 10
",/nsmedia/images/bc/student_resources.png,"""9780544094345""",Teacher Resources,/content/hmof/language_arts/hmhcollections/resources/gr10/teacher_resources_9780544094345_,Student Resources,/content/hmof/language_arts/hmhcollections/resources/gr10/student_resources_9780544094345_,2,Resources,8,Reading,10
NA Resources - Grade 11,"Product setup for NA Resources - Grade 11
",/nsmedia/images/bc/student_resources.png,"""9780544094352""",Teacher Resources,/content/hmof/language_arts/hmhcollections/resources/gr11/teacher_resources_9780544094352_,Student Resources,/content/hmof/language_arts/hmhcollections/resources/gr11/student_resources_9780544094352_,2,Resources,3,Reading,11
NA Resources - Grade 12,"Product setup for NA Resources - Grade 12
",/nsmedia/images/bc/student_resources.png,"""9780544094369""",Teacher Resources,/content/hmof/language_arts/hmhcollections/resources/gr12/teacher_resources_9780544094369_,Student Resources,/content/hmof/language_arts/hmhcollections/resources/gr12/student_resources_9780544094369_,2,Resources,3,Reading,12
MyWriteSmart - Grade 6 NA,"Product setup for MyWriteSmart - Grade 6 NA
",/nsmedia/images/bc/mywritesmart.png,"""9780544252332""",myWriteSmart,/HRWHoap/MWSTeacherDashboardLoader?isbn=9780544094307&grade=6,,,2,myWriteSmart Activities,10,Reading,6
MyWriteSmart - Grade 7 NA,"Product setup for MyWriteSmart - Grade 7 NA
",/nsmedia/images/bc/mywritesmart.png,"""9780544251809""",myWriteSmart,/HRWHoap/MWSTeacherDashboardLoader?isbn=9780544094314&grade=7,,,-1,myWriteSmart Activities,10,Reading,7
MyWriteSmart - Grade 8 NA,"Product setup for MyWriteSmart - Grade 8 NA
",/nsmedia/images/bc/mywritesmart.png,"""9780544252240""",myWriteSmart,/HRWHoap/MWSTeacherDashboardLoader?isbn=9780544094321&grade=8,,,-1,myWriteSmart Activities,10,Reading,8
MyWriteSmart - Grade 9_FL,Product setup for MyWriteSmart - Grade 9_FL,/nsmedia/images/bc/mywritesmart.png,"""9780544253353""",myWriteSmart,/HRWHoap/MWSTeacherDashboardLoader?isbn=9780544087859&grade=9,,,2,myWriteSmart Activities,10,Reading,9
MyWriteSmart - Grade 10 NA,"Product setup for MyWriteSmart - Grade 10 NA
",/nsmedia/images/bc/mywritesmart.png,"""9780544252554""",myWriteSmart,/HRWHoap/MWSTeacherDashboardLoader?isbn=9780544094345&grade=10,,,2,myWriteSmart Activities,5,Reading,10
